,eng_name,locale_code,name,using_countries
283,Welsh,cy,Cymraeg,[GB]
284,French,fr,français,[GF]
285,Dutch,nl,Nederlands,[AW]
286,French,fr,français,[DJ]
287,Romanian,ro,română,[RO]
288,French,fr,français,[GQ]
289,Vietnamese,vi,Tiếng Việt,[VN]
290,Kyrgyz,ky,кыргызча,[KG]
291,Croatian,hr,hrvatski,[BA]
292,Japanese,ja,日本語,[JP]
293,Persian,fa,فارسی,[IR]
294,Oriya,or,ଓଡ଼ିଆ,[IN]
295,Faroese,fo,føroyskt,[FO]
296,Georgian,ka,ქართული,[GE]
297,English,en,English,"[PH, SS, RW, SD]"
298,Albanian,sq,shqip,[XK]
299,English,en,English,[DM]
300,Spanish,es,español,"[PE, PR]"
301,Ewe,ee,Eʋegbe,[GH]
302,Catalan,ca,català,[FR]
303,French,fr,français,[PM]
304,Spanish,es,español,[ES]
305,French,fr,français,[RE]
306,Azerbaijani (Latin),az_Latn,azərbaycan dili (latın),[AZ]
307,Serbian (Cyrillic),sr_Cyrl,српски (ћирилица),[RS]
308,Thai,th,ไทย,[TH]
309,Greek,el,Ελληνικά,[GR]
310,Dutch,nl,Nederlands,[NL]
311,Polish,pl,polski,[PL]
312,Rundi,rn,Ikirundi,[BI]
313,Assamese,as,অসমীয়া,[IN]
314,Albanian,sq,shqip,[MK]
315,Cornish,kw,kernewek,[GB]
316,Bengali,bn,বাংলা,[BD]
317,English,en,English,[SE]
318,Chinese (Simplified),zh_Hans,中文 (简体),[HK]
319,Portuguese,pt,português,[GW]
320,English,en,English,[HK]
321,Burmese,my,ဗမာ,[MM]
322,English,en,English,"[IO, GD]"
323,Albanian,sq,shqip,[AL]
324,French,fr,français,"[DZ, GA, FR]"
325,Telugu,te,తెలుగు,[IN]
326,Arabic,ar,العربية,[LY]
327,Spanish,es,español,[EA]
328,French,fr,français,[RW]
329,German,de,Deutsch,[DE]
330,Spanish,es,español,[IC]
331,Czech,cs,čeština,[CZ]
332,Tibetan,bo,བོད་སྐད་,[IN]
333,Spanish,es,español,[PA]
334,Hebrew,he,עברית,[IL]
335,English,en,English,[IN]
336,Oromo,om,Oromoo,[ET]
337,Korean,ko,한국어,[KR]
338,Sinhala,si,සිංහල,[LK]
339,English,en,English,"[SB, PN]"
340,Korean,ko,한국어,[KP]
341,Afrikaans,af,Afrikaans,[ZA]
342,Hindi,hi,हिन्दी,[IN]
343,Russian,ru,русский,[KZ]
344,English,en,English,"[IL, GG, DK]"
345,Nepali,ne,नेपाली,[NP]
346,Uzbek (Cyrillic),uz_Cyrl,Ўзбек (Кирил),[UZ]
347,Spanish,es,español,[EC]
348,Norwegian Bokmål,nb,norsk bokmål,[NO]
349,Scottish Gaelic,gd,Gàidhlig,[GB]
350,Norwegian Nynorsk,nn,nynorsk,[NO]
351,Irish,ga,Gaeilge,[IE]
352,Malayalam,ml,മലയാളം,[IN]
353,English,en,English,"[IM, KE, SC]"
